newProc,IAP_procName,navaid_name,lat,long,GPSVis_NODE,GPSVis_TRACK,Xcoord_meters,Ycoord_meters
1,RNAV_GPS_RWY_27R,VOGLR,41.945,-86.91866667,"W,,VOGLR,nav,41.945,-86.9186666666667,,magenta","T,1,,,41.945,-86.9186666666667,RNAV_GPS_RWY_27R,blue",81734.97116,-3732.305414
0,RNAV_GPS_RWY_27R,VINYY,42.00133333,-87.30133333,"W,,VINYY,nav,42.0013333333333,-87.3013333333333,,magenta","T,0,,,42.0013333333333,-87.3013333333333,,blue",50019.25294,2524.712384
0,RNAV_GPS_RWY_27R,JOKKR,42.00166667,-87.3715,"W,,JOKKR,nav,42.0016666666667,-87.3715,,magenta","T,0,,,42.0016666666667,-87.3715,,blue",44203.78332,2561.736901
0,RNAV_GPS_RWY_27R,IYLEK,42.002,-87.44166667,"W,,IYLEK,nav,42.002,-87.4416666666667,,magenta","T,0,,,42.002,-87.4416666666667,,blue",38388.31371,2598.760307
0,RNAV_GPS_RWY_27R,WELEV,42.00216667,-87.51183333,"W,,WELEV,nav,42.0021666666667,-87.5118333333333,,magenta","T,0,,,42.0021666666667,-87.5118333333333,,blue",32572.84492,2617.272565
0,RNAV_GPS_RWY_27R,HAREE,42.00233333,-87.582,"W,,HAREE,nav,42.0023333333333,-87.582,,magenta","T,0,,,42.0023333333333,-87.582,,blue",26757.3753,2635.783713
0,RNAV_GPS_RWY_27R,BONZO,42.0025,-87.65233333,"W,,BONZO,nav,42.0025,-87.6523333333333,,magenta","T,0,,,42.0025,-87.6523333333333,,blue",20928.09277,2654.295971
0,RNAV_GPS_RWY_27R,SIBLY,42.00283333,-87.795,"W,,SIBLY,nav,42.0028333333333,-87.795,,magenta","T,0,,,42.0028333333333,-87.795,,blue",9103.765285,2691.319377
1,RNAV_GPS_Z_RWY_27L,VOGLR,41.945,-86.91866667,"W,,VOGLR,nav,41.945,-86.9186666666667,,magenta","T,1,,,41.945,-86.9186666666667,RNAV_GPS_Z_RWY_27L,blue",81734.97116,-3732.305414
0,RNAV_GPS_Z_RWY_27L,NRMAH,41.98233333,-87.30166667,"W,,NRMAH,nav,41.9823333333333,-87.3016666666667,,magenta","T,0,,,41.9823333333333,-87.3016666666667,,blue",49991.62545,414.3571443
0,RNAV_GPS_Z_RWY_27L,JOEBO,41.98266667,-87.37183333,"W,,JOEBO,nav,41.9826666666667,-87.3718333333333,,magenta","T,0,,,41.9826666666667,-87.3718333333333,,blue",44176.15666,451.3816609
0,RNAV_GPS_Z_RWY_27L,GRABL,41.983,-87.442,"W,,GRABL,nav,41.983,-87.442,,magenta","T,0,,,41.983,-87.442,,blue",38360.68705,488.4050668
0,RNAV_GPS_Z_RWY_27L,RIPPR,41.98333333,-87.51216667,"W,,RIPPR,nav,41.9833333333333,-87.5121666666667,,magenta","T,0,,,41.9833333333333,-87.5121666666667,,blue",32545.21743,525.4284727
0,RNAV_GPS_Z_RWY_27L,BASHH,41.9835,-87.58216667,"W,,BASHH,nav,41.9835,-87.5821666666667,,magenta","T,0,,,41.9835,-87.5821666666667,,blue",26743.56156,543.940731
0,RNAV_GPS_Z_RWY_27L,TAFFS,41.98383333,-87.78416667,"W,,TAFFS,nav,41.9838333333333,-87.7841666666667,,magenta","T,0,,,41.9838333333333,-87.7841666666667,,blue",10001.64032,580.9641369
1,RNAV_GPS_RWY_28R,VOGLR,41.945,-86.91866667,"W,,VOGLR,nav,41.945,-86.9186666666667,,magenta","T,1,,,41.945,-86.9186666666667,RNAV_GPS_RWY_28R,blue",81734.97116,-3732.305414
0,RNAV_GPS_RWY_28R,MOTTT,41.96833333,-87.30166667,"W,,MOTTT,nav,41.9683333333333,-87.3016666666667,,magenta","T,0,,,41.9683333333333,-87.3016666666667,,blue",49991.62545,-1140.641454
0,RNAV_GPS_RWY_28R,RICKV,41.96866667,-87.37183333,"W,,RICKV,nav,41.9686666666667,-87.3718333333333,,magenta","T,0,,,41.9686666666667,-87.3718333333333,,blue",44176.15666,-1103.616937
0,RNAV_GPS_RWY_28R,BLUTO,41.96883333,-87.442,"W,,BLUTO,nav,41.9688333333333,-87.442,,magenta","T,0,,,41.9688333333333,-87.442,,blue",38360.68705,-1085.10579
0,RNAV_GPS_RWY_28R,ROCSE,41.969,-87.512,"W,,ROCSE,nav,41.969,-87.512,,magenta","T,0,,,41.969,-87.512,,blue",32559.03117,-1066.593531
0,RNAV_GPS_RWY_28R,WAVIE,41.969,-87.58216667,"W,,WAVIE,nav,41.969,-87.5821666666667,,magenta","T,0,,,41.969,-87.5821666666667,,blue",26743.56156,-1066.593531
0,RNAV_GPS_RWY_28R,ADAME,41.96916667,-87.65233333,"W,,ADAME,nav,41.9691666666667,-87.6523333333333,,magenta","T,0,,,41.9691666666667,-87.6523333333333,,blue",20928.09277,-1048.081273
0,RNAV_GPS_RWY_28R,WILLT,41.96916667,-87.77883333,"W,,WILLT,nav,41.9691666666667,-87.7788333333333,,magenta","T,0,,,41.9691666666667,-87.7788333333333,,blue",10443.6718,-1048.081273
0,RNAV_GPS_RWY_28R,FIDAK,41.96916667,-87.8525,"W,,FIDAK,nav,41.9691666666667,-87.8525,,magenta","T,0,,,41.9691666666667,-87.8525,,blue",4338.119389,-1048.081273
1,RNAV_GPS_RWY_28C,VOGLR,41.945,-86.91866667,"W,,VOGLR,nav,41.945,-86.9186666666667,,magenta","T,1,,,41.945,-86.9186666666667,RNAV_GPS_RWY_28C,blue",81734.97116,-3732.305414
0,RNAV_GPS_RWY_28C,LNDUH,41.96516667,-87.30166667,"W,,LNDUH,nav,41.9651666666667,-87.3016666666667,,magenta","T,0,,,41.9651666666667,-87.3016666666667,,blue",49991.62545,-1492.366587
0,RNAV_GPS_RWY_28C,SNTOE,41.96533333,-87.37183333,"W,,SNTOE,nav,41.9653333333333,-87.3718333333333,,magenta","T,0,,,41.9653333333333,-87.3718333333333,,blue",44176.15666,-1473.855439
0,RNAV_GPS_RWY_28C,KOENN,41.9655,-87.442,"W,,KOENN,nav,41.9655,-87.442,,magenta","T,0,,,41.9655,-87.442,,blue",38360.68705,-1455.343181
0,RNAV_GPS_RWY_28C,MEMAW,41.96566667,-87.512,"W,,MEMAW,nav,41.9656666666667,-87.512,,magenta","T,0,,,41.9656666666667,-87.512,,blue",32559.03117,-1436.830922
0,RNAV_GPS_RWY_28C,HAZIL,41.96583333,-87.65233333,"W,,HAZIL,nav,41.9658333333333,-87.6523333333333,,magenta","T,0,,,41.9658333333333,-87.6523333333333,,blue",20928.09277,-1418.319775
0,RNAV_GPS_RWY_28C,SEIKA,41.96583333,-87.78,"W,,SEIKA,nav,41.9658333333333,-87.78,,magenta","T,0,,,41.9658333333333,-87.78,,blue",10346.97726,-1418.319775
0,RNAV_GPS_RWY_28C,ZUPTI,41.96583333,-87.85166667,"W,,ZUPTI,nav,41.9658333333333,-87.8516666666667,,magenta","T,0,,,41.9658333333333,-87.8516666666667,,blue",4407.186444,-1418.319775
1,RNAV_GPS_PRM_RWY_28C_CP,VOGLR,41.945,-86.91866667,"W,,VOGLR,nav,41.945,-86.9186666666667,,magenta","T,1,,,41.945,-86.9186666666667,RNAV_GPS_PRM_RWY_28C_CP,blue",81734.97116,-3732.305414
0,RNAV_GPS_PRM_RWY_28C_CP,LNDUH,41.96516667,-87.30166667,"W,,LNDUH,nav,41.9651666666667,-87.3016666666667,,magenta","T,0,,,41.9651666666667,-87.3016666666667,,blue",49991.62545,-1492.366587
0,RNAV_GPS_PRM_RWY_28C_CP,SNTOE,41.96533333,-87.37183333,"W,,SNTOE,nav,41.9653333333333,-87.3718333333333,,magenta","T,0,,,41.9653333333333,-87.3718333333333,,blue",44176.15666,-1473.855439
0,RNAV_GPS_PRM_RWY_28C_CP,KOENN,41.9655,-87.442,"W,,KOENN,nav,41.9655,-87.442,,magenta","T,0,,,41.9655,-87.442,,blue",38360.68705,-1455.343181
0,RNAV_GPS_PRM_RWY_28C_CP,MEMAW,41.96566667,-87.512,"W,,MEMAW,nav,41.9656666666667,-87.512,,magenta","T,0,,,41.9656666666667,-87.512,,blue",32559.03117,-1436.830922
0,RNAV_GPS_PRM_RWY_28C_CP,RZUKO,41.96583333,-87.58216667,"W,,RZUKO,nav,41.9658333333333,-87.5821666666667,,magenta","T,0,,,41.9658333333333,-87.5821666666667,,blue",26743.56156,-1418.319775
0,RNAV_GPS_PRM_RWY_28C_CP,HAZIL,41.96583333,-87.65233333,"W,,HAZIL,nav,41.9658333333333,-87.6523333333333,,magenta","T,0,,,41.9658333333333,-87.6523333333333,,blue",20928.09277,-1418.319775
0,RNAV_GPS_PRM_RWY_28C_CP,SEIKA,41.96583333,-87.78,"W,,SEIKA,nav,41.9658333333333,-87.78,,magenta","T,0,,,41.9658333333333,-87.78,,blue",10346.97726,-1418.319775
1,RNAV_GPS_Z_RWY_28L,VOGLR,41.945,-86.91866667,"W,,VOGLR,nav,41.945,-86.9186666666667,,magenta","T,1,,,41.945,-86.9186666666667,RNAV_GPS_Z_RWY_28L,blue",81734.97116,-3732.305414
0,RNAV_GPS_Z_RWY_28L,LYSIN,41.95666667,-87.30166667,"W,,LYSIN,nav,41.9566666666667,-87.3016666666667,,magenta","T,0,,,41.9566666666667,-87.3016666666667,,blue",49991.62545,-2436.472878
0,RNAV_GPS_Z_RWY_28L,KEGNE,41.95683333,-87.37183333,"W,,KEGNE,nav,41.9568333333333,-87.3718333333333,,magenta","T,0,,,41.9568333333333,-87.3718333333333,,blue",44176.15666,-2417.961731
0,RNAV_GPS_Z_RWY_28L,JAVON,41.957,-87.442,"W,,JAVON,nav,41.957,-87.442,,magenta","T,0,,,41.957,-87.442,,blue",38360.68705,-2399.449472
0,RNAV_GPS_Z_RWY_28L,HANSO,41.95716667,-87.51216667,"W,,HANSO,nav,41.9571666666667,-87.5121666666667,,magenta","T,0,,,41.9571666666667,-87.5121666666667,,blue",32545.21743,-2380.937214
0,RNAV_GPS_Z_RWY_28L,FITAR,41.95733333,-87.58216667,"W,,FITAR,nav,41.9573333333333,-87.5821666666667,,magenta","T,0,,,41.9573333333333,-87.5821666666667,,blue",26743.56156,-2362.426066
0,RNAV_GPS_Z_RWY_28L,CAKOS,41.95733333,-87.65233333,"W,,CAKOS,nav,41.9573333333333,-87.6523333333333,,magenta","T,0,,,41.9573333333333,-87.6523333333333,,blue",20928.09277,-2362.426066
0,RNAV_GPS_Z_RWY_28L,PONCC,41.95733333,-87.796,"W,,PONCC,nav,41.9573333333333,-87.796,,magenta","T,0,,,41.9573333333333,-87.796,,blue",9020.884487,-2362.426066
0,RNAV_GPS_Z_RWY_28L,ALKYL,41.95733333,-87.86,"W,,ALKYL,nav,41.9573333333333,-87.86,,magenta","T,0,,,41.9573333333333,-87.86,,blue",3716.513402,-2362.426066
1,RNAV_GPS_PRM_Y_RWY_28L_CP,VOGLR,41.945,-86.91866667,"W,,VOGLR,nav,41.945,-86.9186666666667,,magenta","T,1,,,41.945,-86.9186666666667,RNAV_GPS_PRM_Y_RWY_28L_CP,blue",81734.97116,-3732.305414
0,RNAV_GPS_PRM_Y_RWY_28L_CP,SYNTH,41.93766667,-87.30233333,"W,,SYNTH,nav,41.9376666666667,-87.3023333333333,,magenta","T,0,,,41.9376666666667,-87.3023333333333,,blue",49936.37214,-4546.828118
0,RNAV_GPS_PRM_Y_RWY_28L_CP,TAGPE,41.94016667,-87.37233333,"W,,TAGPE,nav,41.9401666666667,-87.3723333333333,,magenta","T,0,,,41.9401666666667,-87.3723333333333,,blue",44134.71627,-4269.149797
0,RNAV_GPS_PRM_Y_RWY_28L_CP,UCXOR,41.9425,-87.4425,"W,,UCXOR,nav,41.9425,-87.4425,,magenta","T,0,,,41.9425,-87.4425,,blue",38319.24665,-4009.983735
0,RNAV_GPS_PRM_Y_RWY_28L_CP,VIOLS,41.945,-87.5125,"W,,VIOLS,nav,41.945,-87.5125,,magenta","T,0,,,41.945,-87.5125,,blue",32517.59078,-3732.305414
0,RNAV_GPS_PRM_Y_RWY_28L_CP,WODRO,41.94733333,-87.5825,"W,,WODRO,nav,41.9473333333333,-87.5825,,magenta","T,0,,,41.9473333333333,-87.5825,,blue",26715.9349,-3473.139351
0,RNAV_GPS_PRM_Y_RWY_28L_CP,XOGDY,41.94966667,-87.6525,"W,,XOGDY,nav,41.9496666666667,-87.6525,,magenta","T,0,,,41.9496666666667,-87.6525,,blue",20914.27903,-3213.972177
0,RNAV_GPS_PRM_Y_RWY_28L_CP,YOYUK,41.95433333,-87.796,"W,,YOYUK,nav,41.9543333333333,-87.796,,magenta","T,0,,,41.9543333333333,-87.796,,blue",9020.884487,-2695.640052
